image,species,individual_id,bbox,conf
00021adfb725ed.jpg,melon_headed_whale,cadddb1636b9,[[0 95 804 647]],[0.8570]
000562241d384d.jpg,humpback_whale,1a71fbb72250,[[1648 558 2740 904]],[0.7662]
0007c33415ce37.jpg,false_killer_whale,60008f293a2b,[[1654 434 2717 1051]],[0.8393]
0007d9bca26a99.jpg,bottlenose_dolphin,4b00fe572063,[[932 68 2324 1131]],[0.8560]
00087baf5cef7a.jpg,humpback_whale,8e5253662392,[[1273 1571 2037 1799]],[0.5943]
000a8f2d5c316a.jpg,bottlenose_dolphin,b9907151f66e,[[1327 428 2139 1021]],[0.8845]
000be9acf46619.jpg,beluga,afb9b3978217,[[17 34 89 59]],[0.0018]
000bef247c7a42.jpg,humpback_whale,444d8894ccc8,[[1921 1234 2603 1432]],[0.6937]
000c3d63069748.jpg,beluga,df94b15285b9,[[303 60 366 91]],[0.0309]
000c476c11bad5.jpg,bottlenose_dolphin,b11b2404c7e3,[[1300 689 1842 1098]],[0.8717]
001001f099519f.jpg,minke_whale,19fbb960f07d,[[1564 1013 1958 1255]],[0.8133]
00103cbe9d25ce.jpg,fin_whale,180c0ab04dcd,[[1569 488 2047 783]],[0.7999]
00144776eb476d.jpg,bottlenose_dolphin,b9907151f66e,[[1309 317 1985 834]],[0.8578]
00167e8375c967.jpg,beluga,0ad50d0d9b06,[[140 105 210 131]],[0.0085]
00177f3c614d1e.jpg,bottlenose_dolphin,812be36c2aef,[[1277 1086 1993 1615]],[0.9005]
0017b3749cd769.jpg,bottlenose_dolphin,445270d9ad52,[[1543 985 2102 1341]],[0.8527]
0018064338b499.jpg,blue_whale,4790ec346170,[[370 7 593 92]],[0.6878]
001b0900f56e89.jpg,humpback_whale,bc14b5054353,[[1411 1157 2162 1407]],[0.7498]
001cfade605960.jpg,blue_whale,ff69d0975a73,[[149 59 413 189]],[0.5849]
001f1a1f22da96.jpg,minke_whale,780fefdb6198,[[1908 843 2116 984]],[0.8102]
